n_towns,,cost,nfev,ncycles,njev,nhev,cost / mean,percentile_rank,nfev * pr
7,63,1.4603970437200404,156,4,0,0,0.45236148773093093,0.00496031746031746,0.7738095238095237
7,64,1.3862653202980002,312,8,0,0,0.4293990085616835,0.0025793650793650793,0.8047619047619048
7,65,1.3673369972490201,468,12,0,0,0.423535915088913,0.002380952380952381,1.1142857142857143
7,66,1.0235955727679993,351,9,0,0,0.3170611842329166,0.0005952380952380953,0.20892857142857144
7,67,1.6743083120000002,234,6,0,0,0.5186210162458921,0.011111111111111112,2.6
7,68,1.3241657447500004,117,3,0,0,0.410163516061099,0.0017857142857142857,0.20892857142857144
7,69,1.3659504040979595,273,7,0,0,0.4231064145339861,0.002380952380952381,0.65
7,70,1.4567629542499998,468,12,0,0,0.45123581979953925,0.004761904761904762,2.2285714285714286
7,71,1.7522551433999993,156,4,0,0,0.5427652342636157,0.015277777777777777,2.3833333333333333
7,72,1.00678922357502,156,4,0,0,0.3118553772525794,0.0003968253968253968,0.06190476190476191
7,73,1.7699353967780005,234,6,0,0,0.5482417351617273,0.015873015873015872,3.714285714285714
7,74,1.92856720466098,390,10,0,0,0.597378318205337,0.02638888888888889,10.291666666666666
7,75,1.0535430999560402,624,16,0,0,0.32633750262242556,0.0005952380952380953,0.37142857142857144
7,76,1.5355045113820005,351,9,0,0,0.475626206019268,0.006349206349206349,2.2285714285714286
7,77,1.2104539616850196,273,7,0,0,0.37494101846634736,0.001388888888888889,0.3791666666666667
7,78,1.5557590175980003,546,14,0,0,0.4819000879094874,0.007341269841269841,4.008333333333333
7,79,1.6744408331359995,429,11,0,0,0.5186620649856811,0.011111111111111112,4.766666666666667
7,80,1.8983520032499999,195,5,0,0,0.588019087083132,0.024603174603174603,4.7976190476190474
7,81,1.5416468404000003,351,9,0,0,0.47752880716781426,0.006944444444444444,2.4375
7,82,1.05569832160604,234,6,0,0,0.32700508769881026,0.0005952380952380953,0.1392857142857143
7,83,1.7236260302890198,507,13,0,0,0.5338972977973032,0.013293650793650793,6.739880952380952
7,84,2.1201059999250598,156,4,0,0,0.6567079195328915,0.052976190476190475,8.264285714285714
7,85,1.8667727242880003,156,4,0,0,0.578237329667127,0.02242063492063492,3.4976190476190476
7,86,1.3709645747399994,234,6,0,0,0.4246595659191684,0.002380952380952381,0.5571428571428572
7,87,1.3609124121910603,390,10,0,0,0.4215458844548673,0.002380952380952381,0.9285714285714286
7,88,1.9388419588939996,156,4,0,0,0.6005609479777713,0.026984126984126985,4.20952380952381
7,89,1.3479393609999994,234,6,0,0,0.41752745072656483,0.002380952380952381,0.5571428571428572
7,90,1.03268273919604,195,5,0,0,0.31987595583377937,0.0005952380952380953,0.11607142857142858
7,91,1.3530282505999995,663,17,0,0,0.41910374648822335,0.002380952380952381,1.5785714285714287
7,92,1.5471500078980005,429,11,0,0,0.4792334265022157,0.007341269841269841,3.149404761904762
7,93,1.8671375626270206,117,3,0,0,0.5783503392178723,0.02242063492063492,2.623214285714286
7,94,1.3937711087580005,195,5,0,0,0.4317239445432783,0.002777777777777778,0.5416666666666667
7,95,1.5611860821460004,429,11,0,0,0.48358113417255816,0.007341269841269841,3.149404761904762
7,96,1.2616573387520797,195,5,0,0,0.39080138734788245,0.001388888888888889,0.27083333333333337
7,97,1.6584017043799992,156,4,0,0,0.5136939063762317,0.01011904761904762,1.5785714285714287
7,98,1.22559814933506,429,11,0,0,0.379631966921295,0.001388888888888889,0.5958333333333333
7,99,1.6669991070000003,741,19,0,0,0.5163569724626289,0.010317460317460317,7.645238095238095
8,0,1.3056133985000002,576,12,0,0,0.37943660526275685,0.0007192460317460318,0.4142857142857143
8,1,1.3770606600000006,288,6,0,0,0.4002005667769589,0.001240079365079365,0.3571428571428571
8,2,1.6497995494000002,336,7,0,0,0.4794637839252856,0.005208333333333333,1.75
8,3,1.6257492061999996,240,5,0,0,0.4724742871954752,0.004613095238095238,1.1071428571428572
8,4,1.4882953485000001,336,7,0,0,0.4325275271469968,0.002380952380952381,0.8
8,5,1.3869287395000003,288,6,0,0,0.403068422292416,0.0012896825396825397,0.37142857142857144
8,6,1.7022633700000003,192,4,0,0,0.4947107889042854,0.006820436507936508,1.3095238095238095
8,7,1.4628607789999992,192,4,0,0,0.425135747376287,0.0020089285714285712,0.3857142857142857
8,8,1.6538339100000001,528,11,0,0,0.480636247452566,0.00533234126984127,2.8154761904761907
